Zakład;Zawiadomienie;Rodzaj zawiadomienia;Utworzono dnia;Utworzone przez;Początek zakłócenia;Pocz. zakłóc. (godz.);Koniec zakłócenia;Koniec zakłóc.(godz.);Żądane rozpoczęcie;Żądana godzina rozp.;Żądane zakończenie;Żądana godz. zak.;Przestój;Urządzenie;Lokalizacja funkc.;Dotyczy urządzenia;Lokalizacja;Stanowisko robocze;Opis;Czas przestoju;Jedn. czasu przest.;Nr zlecenia;Status zawiadomienia;Opis;Notification Long Text;Grupa planistów;Wpływ;Dot. lokaliz. funkc.;Problem;Kod uszkodzenia;Tekst dot. szkody;Część obiektu;Kod części obiektu;Tek. kodu części ob.;Tekst pozycji;Przyczyna;Kod przyczyny;Tekst kodu przyczyny;Tekst przyczyny;Rodzaj zlecenia;Krótki tekst;Status systemu;Ozn. lokaliz. funkc.;Line functional location;Ozn. lokaliz. funkc.;Oznaczenie obiektu;Oznaczenie obiektu
PLPA;12670848;1P;01.06.2025;KOSIAKRZY1;01.06.2025;13:46:56;01.06.2025;15:36:53;01.06.2025;13:47:48;01.06.2025;14:22:41;X;10116398;PLPA-PR-U11-010703-004;10116398;UGP11;90300020;Uszkodzony pas przed gwiazdą;1,83E+00;H;50000223634;MOBI PRZL ZWZK;;01.06.2025 14:23:10 CET DARIUSZ BAJORYŃSKI (BAJORDARI1) Wymiana taśmy.;P11;2;PLPA-PR-U11-010703-004;ZPM5;103;Zużycie;;;;;ZPM5;108;utrzymanie ruchu;;PLM1;Uszkodzony pas przed gwiazdą;ZAK  CZPT DMNK KWS  MOBI NPT  PRRO;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1 - 5;1-Linia pakowania T1 - 5
PLPA;12670858;1P;01.06.2025;DUDEKMATE1;01.06.2025;17:30:09;;00:00:00;01.06.2025;17:30:09;;00:00:00;X;10119058;PLPA-PR-U22-010320-001;;UGP22;90300020;AWARIA POMPY WYŁADUNKU;0,00E+00;H;50000224486;PRZL WTZW;;;P12;3;;;;;;;;;;;;;PLM1;AWARIA POMPY WYŁADUNKU;ZWOL CZPT DMNK KWS  NPT  PRRO;KJ STREFA WYPIEKU WAFLA;PLPA-PR-U22-010320;KJ MODELOWANIE TARTUFINO;1- Mikser PP K9402;
PLPA;12670873;1P;01.06.2025;GRABOROBE1;01.06.2025;16:37:51;;00:00:00;01.06.2025;16:37:51;;00:00:00;X;10080143;PLPA-PR-U22-010335;;UGP22;90300020;PRZEKŁADACZ NIE POBIERA KARTONIKÓW.;0,00E+00;H;50000224445;PRZL WTZW;;;P12;3;;;;;;;;;;;;;PLM1;PRZEKŁADACZ NIE POBIERA KARTONIKÓW.;ZWOL CZPT BrMt KWS  PRRO;KJ T3 VALIGETTA;PLPA-PR-U22;UGP22 KINDER JOY;1-Pakowaczka T3 1;
PLPA;12670877;1P;02.06.2025;DZIERHUBE1;02.06.2025;02:50:41;02.06.2025;04:26:51;02.06.2025;03:10:27;02.06.2025;03:10:52;;10159756;PLPA-PR-U12-010801-001;10159756;UGP12;90300030;Uszkodzona czujka drzwi na piecu A;0,00E+00;H;50000224471;MOBI PRZL ZWZK;;02.06.2025 03:13:57 CET PRZEMYSŁAW PACUCHA (PACUCPRZE1) Błąd czujnika zamknięcia drzwi przesuwnych. Reset czujnika oraz zazb;P05;1;PLPA-PR-U12-010801-001;ZPM6;108;Błąd pomiaru;;;;;;;;;PLM1;Uszkodzona czujka drzwi na piecu A;ZAK  CZPT BrMt KWS  MOBI PRRO;KINDER CARDS PREPARACJA;PLPA-PR-U12-010801;KINDER CARDS;1-Piece i transp. wafla ciemnego - A i C;1-Piece i transp. wafla ciemnego - A i C
PLPA;12670924;1P;01.06.2025;MALINKONR1;01.06.2025;07:57:32;;00:00:00;01.06.2025;06:05:00;01.06.2025;06:50:00;X;10188037;PLPA-PR-U32-012020;10188037;UGP32;90300020;SKRĘCANIE PO MYCIU;0,00E+00;H;50000224467;PRZL WTZW;;01.06.2025 08:00:11 CET KONRAD MALINOWSKI (MALINKONR1) skręcanie topielnika po myciu PR1;P03;3;PLPA-PR-U32-012020;ZPM5;103;Zużycie;PM1;0020;Brak części;;ZPM5;108;utrzymanie ruchu;;PLM1;SKRĘCANIE PO MYCIU;ZAK  CZPT BrMt KWS  PRRO;TOPIELNIKI PREP1;PLPA-PR-U32;UGP32 PREPARATION + DEOD.;1-Topielnik Schwarte-Milfor;1-Topielnik Schwarte-Milfor
PLPA;12670925;1P;01.06.2025;MALINKONR1;01.06.2025;08:01:28;01.06.2025;09:45:00;01.06.2025;07:10:00;01.06.2025;09:30:00;X;10108256;PLPA-PR-U32-012011-001;10108256;UGP03;90300020;SKRĘCANIE TRASY;1,73E+00;H;50000224468;PRZL ZWZK;;01.06.2025 16:54:22 CET KONRAD MALINOWSKI (MALINKONR1) skręcanie trasy po myciu PR1;P03;3;PLPA-PR-U32-012011-001;ZPM5;103;Zużycie;PM1;0020;Brak części;;ZPM5;108;utrzymanie ruchu;;PLM1;SKRĘCANIE TRASY;ZAK  CZPT BrMt KWS  PRRO;Preparacja kremu KJ/KB/KBW;PLPA-PR-U32-012011;PREP. Kremu KB;1-Zbiornik polewa KBW B9301;1-Zbiornik polewa KBW B9301
PLPA;12670929;PP;01.06.2025;WARDAALEK1;01.06.2025;08:50:04;;00:00:00;01.06.2025;09:20:23;01.06.2025;09:33:26;X;10101837;PLPA-PR-U43-011544;;UGP43;90300030;Ustka ideksatora;0,00E+00;H;50000224139;MOBI PRZL WTZW ZRZa;;;P04;3;;;;;;;;;;;;;PLM7;Ustka ideksatora;ZWOL CZPT DMNK KWS  MOBI PRRO;KB Multipack 2(KB 3);PLPA-PR-U43;UGP43 KINDER BUENO;1-Robot zbiorczy KB 3;
PLPA;12670930;1P;01.06.2025;BOCHYMIRO1;01.06.2025;02:34:55;01.06.2025;04:05:06;01.06.2025;02:41:28;01.06.2025;03:50:06;X;10117910;PLPA-PR-U11-010703-003;10117910;UGP11;90300020;Zablokowana chłodnia;1,50E+00;H;50000224581;MOBI PRZL ZWZK;;01.06.2025 03:50:31 CET Piotr Flont (FLONTPIOT1) Tel. 486714684;P11;3;PLPA-PR-U11-010703-003;ZPM5;105;Zatkanie;;;;;ZPM5;108;utrzymanie ruchu;;PLM1;Zablokowana chłodnia;ZAK  BrMt KWS  MOBI PRRO;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Zespół chłodniczy 1;1-Zespół chłodniczy 1
PLPA;12670942;1P;01.06.2025;GOZDZJARO2;01.06.2025;09:35:07;01.06.2025;10:35:16;01.06.2025;09:37:07;01.06.2025;10:20:16;X;10101831;PLPA-PR-U43-011544;10101831;UGP43;90300020;WYMIANA DRIVERA;1,00E+00;H;50000224099;PRZL ZWZK;;01.06.2025 10:35:00 CET Jarosław Goździk (GOZDZJARO2) Wymiana zasilacza driver;P04;3;PLPA-PR-U43-011544;ZPM6;107;Awaria sterowania;;;;;ZPM5;108;utrzymanie ruchu;;PLM1;WYMIANA DRIVERA;ZWOL CZPT DMNK KWS  NPT  PRRO;KB Multipack 2(KB 3);PLPA-PR-U43;UGP43 KINDER BUENO;1-Robot pakujący KB 3;1-Robot pakujący KB 3
PLPA;12670982;1P;01.06.2025;WARTEPRZE1;01.06.2025;09:16:06;01.06.2025;10:15:00;01.06.2025;09:18:53;01.06.2025;10:00:00;X;10107617;PLPA-PR-U22-010325-002;10107617;UGP22;90300020;Awaria głowicy;9,82E-01;H;50000224296;MOBI PRZL ZWZK;;01.06.2025 11:05:55 CET Robert Grabowski (GRABOROBE1);P12;3;PLPA-PR-U22-010325-002;ZPM5;103;Zużycie;;;;;;;;;PLM1;Awaria głowicy;ZWOL CZPT DMNK KWS  MOBI NPT  PRRO;KJ 1 PAKOWANIE;PLPA-PR-U22-010325;KJ LINIA 1;1-Zespół kartoniarki K7;1-Zespół kartoniarki K7
PLPA;12670987;1P;01.06.2025;WILKMATE1;01.06.2025;13:56:32;01.06.2025;15:42:15;01.06.2025;14:18:59;01.06.2025;14:25:42;X;10126826;PLPA-PR-U12-011312-003;10126826;UGP12;90300030;Data do regulacji. A1;1,76E+00;H;50000223636;MOBI PRZL ZWZK;;01.06.2025 14:27:21 CET MACIEJ FRĄCZEK (FRACZMACI1) Źle ustawione parametry nadruku;P05;3;PLPA-PR-U12-011312-003;ZPM6;107;Awaria sterowania;;;;;ZPM5;103;Błąd operatora/brak szkoleń użytkownika;;PLM1;Data do regulacji. A1;ZAK  CZPT BrMt KWS  MOBI PRRO;NUTELLA B-READY PAKOWANIE;PLPA-PR-U12-011312;NUTELLA B-READY;1 - Zespół flowpacków  ACMA;1 - Zespół flowpacków  ACMA
PLPA;12671016;1P;01.06.2025;BISDOMI1;01.06.2025;12:38:31;01.06.2025;14:00:33;01.06.2025;12:40:24;01.06.2025;13:45:33;X;10087519;PLPA-PR-U11-010717;10087519;UGP11;90300020;Zużyte gumki nawette;1,37E+00;H;50000224600;MOBI PRZL ZWZK;;01.06.2025 13:46:06 CET DARIUSZ BAJORYŃSKI (BAJORDARI1) Wymiana uszczelek.;P11;2;PLPA-PR-U11-010717;ZPM5;103;Zużycie;;;;;ZPM5;108;utrzymanie ruchu;;PLM1;Zużyte gumki nawette;ZAK  CZPT DMNK KWS  MOBI NPT  PRRO;LINIA PAKUJĄCA ERMETICO RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Maszyna pakująca Ermetico 1     003230;1-Maszyna pakująca Ermetico 1     003230
PLPA;12671117;1P;01.06.2025;NARAJJACE1;01.06.2025;20:30:16;;00:00:00;01.06.2025;20:30:16;;00:00:00;X;10102053;PLPA-PR-U43-011445-003;;UGP43;90300020;2-MASZYNA FOLIUJĄCA FLOWPACK 7;0,00E+00;H;50000224620;PRZL WTZW;;;P04;3;;;;;;;;;;;;;PLM1;2-MASZYNA FOLIUJĄCA FLOWPACK 7;ZWOL BrMt KWS  PRRO;KB 2. Pakowanie;PLPA-PR-U43-011445;KB 2.;1-Pakowaczka 7;
PLPA;12671118;1P;01.06.2025;NARAJJACE1;01.06.2025;20:31:42;01.06.2025;21:09:44;01.06.2025;20:15:42;01.06.2025;20:54:44;X;10102053;PLPA-PR-U43-011445-003;10102053;UGP43;90300020;2-MASZYNA FOLIUJĄCA FLOWPACK 7;6,34E-01;H;50000224621;PRZL ZWZK;;01.06.2025 20:56:12 CET Jacek Narajczyk (NARAJJACE1) Wymiana przycisku start.;P04;3;PLPA-PR-U43-011445-003;ZPM6;107;Awaria sterowania;;;;;ZPM5;108;utrzymanie ruchu;;PLM1;2-MASZYNA FOLIUJĄCA FLOWPACK 7;ZWOL CZPT DMNK KWS  NPT  PRRO;KB 2. Pakowanie;PLPA-PR-U43-011445;KB 2.;1-Pakowaczka 7;1-Pakowaczka 7
PLPA;12671119;1P;02.06.2025;KOWALDAMI1;02.06.2025;01:01:32;;00:00:00;02.06.2025;00:20:32;02.06.2025;00:45:03;X;10119196;PLPA-PR-U41-011542;10119196;UGP41;90300020;URUCHOMIENIE TRANSPORTERÓW;0,00E+00;H;50000224624;PRZL WTZW;;02.06.2025 01:02:49 CET Damian Kowalski (KOWALDAMI1) uruchomienie transporterów do siata nr1 Wyłączone zabezpieczenie termicz;P04;3;PLPA-PR-U41-011542;ZPM6;107;Awaria sterowania;;;;;ZPM5;108;utrzymanie ruchu;;PLM1;URUCHOMIENIE TRANSPORTERÓW;ZWOL BrMt KWS  PRRO;KB MINI 2. Pakowanie MIX;PLPA-PR-U41;UGP41 KINDER BUENO MINI;1-Pakowaczka zbiorcza 1;1-Pakowaczka zbiorcza 1
PLPA;12671160;1P;01.06.2025;WILKMATE1;01.06.2025;09:35:48;01.06.2025;13:17:17;01.06.2025;09:37:10;01.06.2025;10:44:20;X;10126826;PLPA-PR-U12-011312-003;10227128;UGP12;90300020;Wydmuch RTG do regulacji. R3;3,69E+00;H;50000224158;MOBI PRZL ZWZK;;01.06.2025 10:45:19 CET MARIUSZ BOGUSZ (BOGUSMARI1) Naprawa mocowania i regulacja wydmuchu;P05;3;PLPA-PR-U12-011312-003;ZPM5;100;Deformacja;;;;;;;;;PLM1;Wydmuch RTG do regulacji. R3;ZAK  CZPT BrMt KWS  MOBI PRRO;NUTELLA B-READY PAKOWANIE;PLPA-PR-U12-011312;NUTELLA B-READY;1 - Zespół flowpacków  ACMA;2 - Linia 3
PLPA;12671170;1P;01.06.2025;MALINKRYS1;01.06.2025;12:27:06;01.06.2025;13:05:00;01.06.2025;12:10:00;01.06.2025;12:50:00;X;10102400;PLPA-PR-U43-011444;10102400;UGP43;90300020;AWARIA CZUJKI NADRUKU;6,32E-01;H;50000224526;PRZL ZWZK;;01.06.2025 14:17:34 CET Krystian Malinowski (MALINKRYS1) wymiana i regulacja czujnika nadruku;P04;3;PLPA-PR-U43-011444;ZPM6;107;Awaria sterowania;PM1;0040;Części daleko od miejsca naprawy;;ZPM5;108;utrzymanie ruchu;;PLM1;AWARIA CZUJKI NADRUKU;ZWOL CZPT DMNK KWS  NPT  PRRO;KB / KBW Isola Multipack;PLPA-PR-U43;UGP43 KINDER BUENO;1-Drukarki;1-Drukarki
PLPA;12671171;1P;01.06.2025;KOPCZALBE1;01.06.2025;12:58:53;01.06.2025;14:31:37;01.06.2025;14:16:26;01.06.2025;14:16:37;X;10226080;PLPA-PR-U12-010801-002;10226080;UGP12;90300030;Błąd kabla od ethernet;1,55E+00;H;50000223635;MOBI PRZL ZWZK;;01.06.2025 14:17:48 CET MACIEJ FRĄCZEK (FRACZMACI1) Wymiana kabla do wyspy festo jasny wafel 45min;P05;3;PLPA-PR-U12-010801-002;ZPM6;110;Przerwa w obwodzie;;;;;;;;;PLM1;Błąd kabla od ethernet;ZAK  CZPT BrMt KWS  MOBI PRRO;KINDER CARDS MODELATOR;PLPA-PR-U12-010801;KINDER CARDS;1-Zespół wycinania wafla jasnego;1-Zespół wycinania wafla jasnego
PLPA;12671176;1P;01.06.2025;ZIELIMARE1;01.06.2025;23:42:30;;00:00:00;12.07.2025;17:39:09;;00:00:00;;10164251;PLPA-PR-U21-010169-002;10164251;UGP21;90300020;Poprawić przekładacz produktu;0,00E+00;H;50000224527;MOBI PRZL WTZW ZRZa;;;P02;3;PLPA-PR-U21-010169-002;;;;;;;;;;;;PLM1;Poprawić przekładacz produktu;ZWOL CZPT BrMt KWS  MOBI PRRO;FC PAKOWANIE IFC T110 2;PLPA-PR-U21-010123;FIGURA CAVA;1-Maszyna pakująca IFC T110 2;1-Maszyna pakująca IFC T110 2
PLPA;12671179;1P;02.06.2025;KOPCZALBE1;02.06.2025;01:15:53;02.06.2025;19:01:58;02.06.2025;01:18:01;02.06.2025;03:08:46;;10126195;PLPA-PR-U12-011312-002;10126195;UGP12;90300030;Samoczynne rozłączanie robota;0,00E+00;H;50000224509;MOBI PRZL ZWZK;;02.06.2025 03:09:37 CET PRZEMYSŁAW PACUCHA (PACUCPRZE1) Poprawa połączeń wtyczek przewodu sygnałowego;P05;2;PLPA-PR-U12-011312-002;ZPM6;108;Błąd pomiaru;;;;;;;;;PLM1;Samoczynne rozłączanie robota;ZAK  CZPT BrMt KWS  MOBI PRRO;NUTELLA B-READY MODELATOR;PLPA-PR-U12-011312;NUTELLA B-READY;1-Robot 1;1-Robot 1
PLPA;12671191;1P;01.06.2025;ADAMCDAWI1;01.06.2025;14:23:00;01.06.2025;15:57:33;01.06.2025;14:27:46;01.06.2025;15:57:33;X;10216514;PLPA-PR-U12-010801-003;10216514;UGP12;90300030;Alarm pistolet 1 kleju na zamykaniu;1,58E+00;H;50000224408;MOBI PRZL ZWZK;;01.06.2025 15:58:06 CET ŁUKASZ WOLNIEWICZ (WOLNILUKA1) Wymiana głowicy kleju;P05;3;PLPA-PR-U12-010801-003;ZPM5;103;Zużycie;;;;;;;;;PLM1;Alarm pistolet 1 kleju na zamykaniu;ZAK  CZPT DMNK KWS  MOBI NPT  PRRO;KINDER CARDS PAKOWANIE;PLPA-PR-U12-010801;KINDER CARDS;1-Zespół kartoniarek Livetech;1-Zespół kartoniarek Livetech
PLPA;12671192;1P;01.06.2025;WILKMATE1;01.06.2025;14:25:41;01.06.2025;15:42:03;01.06.2025;14:26:46;01.06.2025;15:07:02;X;10126856;PLPA-PR-U12-011312-003;10126856;UGP12;90300020;Przekrzywiony zginacz przy zamykaczu.K3;1,27E+00;H;50000224407;MOBI PRZL ZWZK;;01.06.2025 15:07:39 CET ŁUKASZ WOLNIEWICZ (WOLNILUKA1) Prostowanie grzebienia na zamykaniu;P05;3;PLPA-PR-U12-011312-003;ZPM5;100;Deformacja;;;;;;;;;PLM1;Przekrzywiony zginacz przy zamykaczu.K3;ZAK  CZPT BrMt KWS  MOBI PRRO;NUTELLA B-READY PAKOWANIE;PLPA-PR-U12-011312;NUTELLA B-READY;1 - Zespół kartoniarek SCHUBERT;1 - Zespół kartoniarek SCHUBERT
PLPA;12671194;1P;01.06.2025;KLOSIJARO1;01.06.2025;21:05:48;;00:00:00;01.06.2025;19:30:48;01.06.2025;20:00:55;X;10108397;PLPA-PR-U32-012111-002;10108397;UGP32;90300020;AWARIA SILNIKA;0,00E+00;H;50000224601;PRZL WTZW;;01.06.2025 21:07:23 CET JAROSŁAW KŁOSIEWICZ (KLOSIJARO1) reset softstartu;P03;3;PLPA-PR-U32-012111-002;ZPM6;107;Awaria sterowania;;;;;ZPM5;108;utrzymanie ruchu;;PLM1;AWARIA SILNIKA;ZAK  CZPT BrMt KWS  PRRO;PREP. Kremu NUT/KJ;PLPA-PR-U32-012111;PREP. Kremu NUT;1-Mikser;1-Mikser
PLPA;12671195;1P;01.06.2025;KLOSIJARO1;01.06.2025;21:11:47;01.06.2025;21:15:55;01.06.2025;20:49:47;01.06.2025;21:00:55;X;10184924;PLPA-PR-U41-011540-001;10184924;UGP31;90300020;AWARIA FALOWNIKA;6,89E-02;H;50000224602;PRZL ZWZK;;01.06.2025 21:13:21 CET JAROSŁAW KŁOSIEWICZ (KLOSIJARO1) reset falownika;P03;3;PLPA-PR-U41-011540-001;ZPM6;107;Awaria sterowania;;;;;ZPM5;108;utrzymanie ruchu;;PLM6;AWARIA FALOWNIKA;ZWOL CZPT BrMt KWS  PRRO;KB MINI 2. Piece;PLPA-PR-U41-011540;KB MINI 2. Modelator-nowy;1-Piec wafla górnego KB MINI;1-Piec wafla górnego KB MINI
PLPA;12671196;1P;01.06.2025;FAJDEKONR1;01.06.2025;19:00:00;02.06.2025;00:02:58;01.06.2025;21:54:21;01.06.2025;22:32:21;X;10101156;PLPA-PR-U43-011545-003;10101156;UGP43;90300020;Wymiana taśmy, przegląd;5,05E+00;H;50000224603;MOBI PRZL ZWZK;;01.06.2025 21:54:20 CET Konrad Fajdek (FAJDEKONR1) Porwana taśma ---------------------------------------- 01.06.2025 22:32:54 C;P04;1;PLPA-PR-U43-011545-003;ZPM5;103;Zużycie;;;;;ZPM5;108;utrzymanie ruchu;;PLM6;Wymiana taśmy, przegląd;ZWOL CZPT DMNK KWS  MOBI NPT  PRRO;KB 3. Pakowanie;PLPA-PR-U43-011545;KB 3.;1-Pakowaczka zbiorcza 6;1-Pakowaczka zbiorcza 6
