Zawiadomienie;Rodzaj zawiadomienia;Utworzono dnia;Pocz. zakłóc. (godz.);Koniec zakłóc.(godz.);Przestój;Urządzenie;Lokalizacja funkc.;Lokalizacja;Opis;Czas przestoju;Jedn. czasu przest.;Wpływ;Kod uszkodzenia;Tekst dot. szkody;Kod przyczyny;Ozn. lokaliz. funkc.;Line functional location;Ozn. lokaliz. funkc.;Oznaczenie obiektu
12477147;PT;02.01.2025;11:15:04;00:00:00;;10116556;PLPA-PR-U11-010703-007;UGP11;PRZEGLĄD WAGI NASYPOWEJ;0,00E+00;H;;;;;LINIA WAŻĄCO-PAKUJĄCA 9(VRAC)RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Waga wielogłowicowa
12477468;1P;02.01.2025;23:34:56;00:00:00;X;10118186;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD ZBIORNIKÓW;0,00E+00;H;3;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Instalacja technologiczna kremu
12477993;1P;03.01.2025;08:38:58;09:00:27;X;10116830;PLPA-PR-U11-010717;UGP11;Uszkodzony zawór powietrza na siłowniku;3,58E-01;H;1;106;Wyciek;108;LINIA PAKUJĄCA ERMETICO RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Maszyna pakująca Ermetico 2     003231
12478061;1P;03.01.2025;08:35:51;10:17:24;X;10116830;PLPA-PR-U11-010717;UGP11;Brak sieci , wymagane zerowanie przekla;2,50E+03;H;1;107;Awaria sterowania;;LINIA PAKUJĄCA ERMETICO RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Maszyna pakująca Ermetico 2     003231
12478298;1P;03.01.2025;14:10:40;17:50:47;X;10125297;PLPA-PR-U11-010717;UGP11;Brak elementów spirali na transporterze;3,67E+00;H;1;104;Złamanie;108;LINIA PAKUJĄCA ERMETICO RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Automatyczna zgrzewarka folii 1
12478325;1P;03.01.2025;16:44:53;17:27:34;X;10158831;PLPA-PR-U11-010703-006;UGP11;Nieszczelny siłownik;7,11E-01;H;2;106;Wyciek;108;LINIE PAKUJĄCE T1,T3,T4-2,3 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakująca zbiorcza MW 05/06
12478719;1P;04.01.2025;07:35:41;08:32:16;X;10116830;PLPA-PR-U11-010717;UGP11;Awaria elau;9,43E-01;H;3;107;Awaria sterowania;;LINIA PAKUJĄCA ERMETICO RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Maszyna pakująca Ermetico 2     003231
12478779;1P;04.01.2025;01:24:42;00:00:00;X;10116830;PLPA-PR-U11-010717;UGP11;Awaria noża;0,00E+00;H;1;;;;LINIA PAKUJĄCA ERMETICO RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Maszyna pakująca Ermetico 2     003231
12478349;1P;04.01.2025;06:58:03;11:34:07;X;10158831;PLPA-PR-U11-010703-006;UGP11;Je podaje kleju na karton;4,60E+00;H;3;107;Awaria sterowania;;LINIE PAKUJĄCE T1,T3,T4-2,3 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakująca zbiorcza MW 05/06
12479086;1P;04.01.2025;07:10:44;07:48:15;X;10115784;PLPA-PR-U11-010703-006;UGP11;Nie rozcina batonów Foli nóż;6,25E-01;H;3;100;Deformacja;;LINIE PAKUJĄCE T1,T3,T4-2,3 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1/T3/T4 - 3
12479115;1P;04.01.2025;08:29:28;00:00:00;X;10117965;PLPA-PR-U11-010703-003;UGP11;Często wyłączająca się linia;0,00E+00;H;3;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Zespól transporterów pod przekładaczam
12479156;1P;04.01.2025;19:22:21;21:23:12;X;10127175;PLPA-PR-U11-010703-004;UGP11;Regulacja poziomu maszyny;2,01E+00;H;2;100;Deformacja;108;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1-0
12479502;1P;04.01.2025;18:31:48;19:09:58;X;10117891;PLPA-PR-U11-010703-003;UGP11;Wałek nie czyści form;6,36E-01;H;2;100;Deformacja;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1 - Wałek czyszczący formy
12479605;1P;05.01.2025;00:44:27;04:18:27;X;10115784;PLPA-PR-U11-010703-006;UGP11;Kolizja łańcucha.;3,57E+00;H;3;100;Deformacja;108;LINIE PAKUJĄCE T1,T3,T4-2,3 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1/T3/T4 - 3
12479701;1P;05.01.2025;07:18:11;10:43:51;X;10115784;PLPA-PR-U11-010703-006;UGP11;Awaria kartoniarki dyspleya;3,43E+00;H;3;100;Deformacja;108;LINIE PAKUJĄCE T1,T3,T4-2,3 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1/T3/T4 - 3
12479589;1P;05.01.2025;04:30:59;13:37:26;X;10116398;PLPA-PR-U11-010703-004;UGP11;Alarm ogólny oprogramowanie;2,46E+03;H;2;107;Awaria sterowania;;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1 - 5
12479507;1P;05.01.2025;07:00:45;10:43:33;X;10116398;PLPA-PR-U11-010703-004;UGP11;Błędy korekcji;3,71E+00;H;3;107;Awaria sterowania;;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1 - 5
12479718;1P;05.01.2025;18:16:24;19:14:07;X;10115782;PLPA-PR-U11-010703-004;UGP11;Uszkodzony pas przed gwiazdą;9,62E-01;H;2;103;Zużycie;;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1-1
12479648;1P;05.01.2025;11:42:42;12:37:24;X;10116403;PLPA-PR-U11-010703-004;UGP11;Przerwany pas pod gwiazdą;9,12E-01;H;3;103;Zużycie;108;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1 - 7
12479967;1P;05.01.2025;21:55:57;22:19:07;X;10117913;PLPA-PR-U11-010703-003;UGP11;Awaria czujnika osłony 24;3,86E-01;H;3;110;Przerwa w obwodzie;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Rozkładacz form 1             005111
12480570;1P;06.01.2025;10:47:05;14:04:30;X;10116595;PLPA-PR-U11-010703-005;UGP11;Awaria kowadełka zamykania kartoników;3,29E+00;H;3;103;Zużycie;;LINIE WAŻĄCO-PAKUJACE T15 1,2,3,4 RAFFAE;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia ważąco-pakujaca T-15 -4
12480520;1P;06.01.2025;10:16:23;11:13:43;X;10166540;PLPA-PR-U11-010717;UGP11;Wymiana grzałki wstępnej;9,56E-01;H;2;108;Błąd pomiaru;;LINIA PAKUJĄCA ERMETICO RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Przekładacz produktu do IPE 2   005110
12480603;1P;06.01.2025;11:42:16;12:03:56;X;10116830;PLPA-PR-U11-010717;UGP11;Awaria grzałek;3,61E-01;H;3;108;Błąd pomiaru;;LINIA PAKUJĄCA ERMETICO RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Maszyna pakująca Ermetico 2     003231
12480655;1P;06.01.2025;12:37:26;14:18:27;X;10152113;PLPA-PR-U11-010703-002;UGP11;Awaria wind T23;1,68E+00;H;1;102;Zacinanie się;;LINIA WAŻĄCO-PAKUJĄCA 5,6 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Kartoniarka czapkarka
12480587;1P;06.01.2025;18:33:11;21:31:48;X;10116594;PLPA-PR-U11-010703-005;UGP11;Niedziałający hamulec na transporterze;2,98E+00;H;3;103;Zużycie;108;LINIE WAŻĄCO-PAKUJACE T15 1,2,3,4 RAFFAE;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia ważąco-pakujaca T-15 -1
12481436;1P;06.01.2025;21:45:38;22:53:04;X;10201857;PLPA-PR-U11-010709;UGP11;Problem ze składaniem kartonika;1,12E+00;H;3;100;Deformacja;108;LINIA WAŻĄCO-PAKUJĄCA 12 T9 RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Zespół zamykania
12481871;1P;07.01.2025;01:28:35;00:00:00;X;10152113;PLPA-PR-U11-010703-002;UGP11;Częste samoczynne wyłączanie;0,00E+00;H;2;;;;LINIA WAŻĄCO-PAKUJĄCA 5,6 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Kartoniarka czapkarka
12481901;1P;07.01.2025;02:21:19;05:41:28;X;10115782;PLPA-PR-U11-010703-004;UGP11;Rozłączanie przepływu form przekł. Nr1;3,34E+00;H;3;107;Awaria sterowania;;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1-1
12482015;PT;07.01.2025;06:38:00;00:00:00;;10117886;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD MODUŁU TNACEGO;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2 - Moduł tnący 1
12482016;PT;07.01.2025;06:39:25;00:00:00;;10117887;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD MODUŁU TNACEGO;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2- Moduł tnący 2
12482017;PT;07.01.2025;06:41:01;00:00:00;;10153200;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD PODAJNIKA MIGDAŁA;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2-Podajnik migdała Labotek
12482018;PT;07.01.2025;06:42:37;00:00:00;;10117915;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD PRZEKŁADACZA;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Przekładacz na trans. siat. 2   005114
12482019;PT;07.01.2025;06:43:58;00:00:00;;10118745;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD  SIATKI;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2-Transporter siatkowy
12482080;PT;07.01.2025;06:46:12;00:00:00;;10126317;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD TRANSPORTERA;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2-Transporter odzysk. cukierka  005810
12482081;PT;07.01.2025;06:48:36;00:00:00;;10132685;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD SZAF STEROWNICZYCH;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Zespół szaf elektrycznych
12482082;PT;07.01.2025;06:50:13;00:00:00;;10117966;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD CZUJNIKÓW;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Zespół dozowania produktu
12482084;PT;07.01.2025;06:53:53;00:00:00;;10079583;PLPA-PR-U11-010703-004;UGP11;PRZEGLĄD WYMIANA NOŻY;0,00E+00;H;;;;;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2-Pakowarka pozioma 1
12482086;PT;07.01.2025;06:58:31;00:00:00;;10151866;PLPA-PR-U11-010703-005;UGP11;PRZEGLĄD TRANSPORTERA PIONOWEGO;0,00E+00;H;;;;;LINIE WAŻĄCO-PAKUJACE T15 1,2,3,4 RAFFAE;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Transporter pionowy wyj. linia 3-4
12482087;PT;07.01.2025;07:02:10;00:00:00;;10116648;PLPA-PR-U11-010703-005;UGP11;PRZEGLĄD ZESPOŁU ZAMYKANIA;0,00E+00;H;;;;;LINIE WAŻĄCO-PAKUJACE T15 1,2,3,4 RAFFAE;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2-Zespół zamykania kartonika
12482088;PT;07.01.2025;07:09:59;00:00:00;;10079704;PLPA-PR-U11-010703-006;UGP11;PRZEGLĄD ETYKIECIARKI;0,00E+00;H;;;;;LINIE PAKUJĄCE T1,T3,T4-2,3 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2-Etykieciarka T3/T4
12482089;PT;07.01.2025;07:13:53;00:00:00;;10201857;PLPA-PR-U11-010709;UGP11;PRZEGLĄD ZESPOŁU ZAMYKANIA;0,00E+00;H;;;;;LINIA WAŻĄCO-PAKUJĄCA 12 T9 RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Zespół zamykania
12482382;1P;07.01.2025;10:37:26;14:52:26;X;10117959;PLPA-PR-U11-010703-003;UGP11;Regulacja destacera naciąganie łańcucha;4,25E+00;H;3;100;Deformacja;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Zespół dystrybucji tac 24x6
12482406;1P;07.01.2025;10:46:09;00:00:00;X;10115783;PLPA-PR-U11-010703-006;UGP11;Zablokowany przekładasz;0,00E+00;H;2;;;;LINIE PAKUJĄCE T1,T3,T4-2,3 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1/T3/T4 - 2
12482396;1P;07.01.2025;12:43:46;00:00:00;X;10132044;PLPA-PR-U11-010721;UGP11;Uszkodzone krańcówki kartoniarka 3 T15.;0,00E+00;H;3;;;;LINIA WAŻĄCO-PAKUJĄCA 11 T8 L.21 RAFFAEL;PLPA-PR-U11;UGP11 RAFFAELLO;1-Kartoniarka
12482735;1P;07.01.2025;14:52:44;09:44:26;X;10117959;PLPA-PR-U11-010703-003;UGP11;Regulacja destacera;5,47E+02;H;1;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Zespół dystrybucji tac 24x6
12482821;1P;07.01.2025;15:20:40;21:59:24;X;10117956;PLPA-PR-U11-010703-003;UGP11;Rozsypany stos na windzie w chłodni;6,65E+00;H;2;100;Deformacja;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Zespół chłodniczy 3
12483050;1P;07.01.2025;18:47:45;00:00:00;X;10117959;PLPA-PR-U11-010703-003;UGP11;Do regulacji destaker;0,00E+00;H;1;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Zespół dystrybucji tac 24x6
12482837;1P;07.01.2025;15:53:17;17:20:21;X;10132044;PLPA-PR-U11-010721;UGP11;Źle składa display kartoniarka nr3.;1,45E+00;H;3;102;Zacinanie się;108;LINIA WAŻĄCO-PAKUJĄCA 11 T8 L.21 RAFFAEL;PLPA-PR-U11;UGP11 RAFFAELLO;1-Kartoniarka
12482709;1P;07.01.2025;20:43:53;22:53:05;X;10152113;PLPA-PR-U11-010703-002;UGP11;Awaria siłownika;2,15E+00;H;3;107;Awaria sterowania;;LINIA WAŻĄCO-PAKUJĄCA 5,6 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Kartoniarka czapkarka
12483162;1P;07.01.2025;22:18:11;00:00:00;X;10117956;PLPA-PR-U11-010703-003;UGP11;Zablokowane formy winda na pakowaczki;0,00E+00;H;3;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Zespół chłodniczy 3
12483181;1P;07.01.2025;22:27:50;05:44:34;X;10115782;PLPA-PR-U11-010703-004;UGP11;Wymiana szczotek przed nożami;7,28E+00;H;2;103;Zużycie;;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1-1
12483251;1P;07.01.2025;23:38:53;05:43:54;X;10201857;PLPA-PR-U11-010709;UGP11;Naprawa prowadzenia kartonika;6,08E+00;H;3;102;Zacinanie się;;LINIA WAŻĄCO-PAKUJĄCA 12 T9 RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Zespół zamykania
12483272;1P;08.01.2025;01:17:13;05:43:40;X;10116595;PLPA-PR-U11-010703-005;UGP11;Awaria kartoniarki nr 7;4,44E+00;H;2;102;Zacinanie się;;LINIE WAŻĄCO-PAKUJACE T15 1,2,3,4 RAFFAE;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia ważąco-pakujaca T-15 -4
12483266;1P;08.01.2025;03:43:03;05:43:29;X;10152113;PLPA-PR-U11-010703-002;UGP11;Uszkodzony przewód sieciowy;2,01E+00;H;2;107;Awaria sterowania;;LINIA WAŻĄCO-PAKUJĄCA 5,6 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Kartoniarka czapkarka
12483452;1P;08.01.2025;06:49:08;12:09:39;X;10116394;PLPA-PR-U11-010703-004;UGP11;Alarm crimper;5,34E+00;H;3;107;Awaria sterowania;;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1 - 4
12483424;1P;08.01.2025;06:50:24;12:09:23;X;10116398;PLPA-PR-U11-010703-004;UGP11;Alarm ogólny Taśma 60.2;5,32E+00;H;3;107;Awaria sterowania;;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1 - 5
12483589;1P;08.01.2025;08:18:11;17:38:16;X;10117965;PLPA-PR-U11-010703-003;UGP11;Winda nie pobiera form;9,33E+00;H;2;107;Awaria sterowania;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Zespól transporterów pod przekładaczam
12483802;PP;08.01.2025;10:45:04;00:00:00;;10116831;PLPA-PR-U11-010717;UGP11;Uszkodzona krańcówka;0,00E+00;H;1;;;;LINIA PAKUJĄCA ERMETICO RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Maszyna pakująca Ermetico 3     003775
12483707;1P;08.01.2025;10:29:27;17:37:39;X;10116593;PLPA-PR-U11-010703-005;UGP11;Uszkodzony włącznik kartoniarki 4;7,14E+00;H;1;107;Awaria sterowania;;LINIE WAŻĄCO-PAKUJACE T15 1,2,3,4 RAFFAE;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia ważąco-pakujaca T-15 -2   005814
12483885;1P;08.01.2025;12:36:13;13:51:39;X;10116394;PLPA-PR-U11-010703-004;UGP11;Uszkodzony pas;1,26E+00;H;1;103;Zużycie;;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1 - 4
12483806;PT;08.01.2025;12:44:52;00:00:00;;10129244;PLPA-PR-U11-010717;UGP11;PRZEGLĄD SERWISOWY AUTOMATYCZNYCH ZGRZEW;0,00E+00;H;;;;;LINIA PAKUJĄCA ERMETICO RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Automatyczna zgrzewarka folii 2
12483992;1P;08.01.2025;13:37:38;15:02:48;X;10152112;PLPA-PR-U11-010703-002;UGP11;Uszkodzona szalka;1,42E+00;H;3;107;Awaria sterowania;;LINIA WAŻĄCO-PAKUJĄCA 5,6 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia ważąco-pakujaca T-23 -6
12483977;1P;08.01.2025;14:31:24;15:01:32;X;10116394;PLPA-PR-U11-010703-004;UGP11;Awaria obwodu bezpieczeństwa crimper;5,02E-01;H;3;110;Przerwa w obwodzie;;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1 - 4
12484360;1P;08.01.2025;19:23:43;05:36:36;X;10158831;PLPA-PR-U11-010703-006;UGP11;Uszkodzona czujka.;2,79E+03;H;3;108;Błąd pomiaru;;LINIE PAKUJĄCE T1,T3,T4-2,3 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakująca zbiorcza MW 05/06
12484278;1P;08.01.2025;19:05:33;23:08:09;X;10201854;PLPA-PR-U11-010709;UGP11;Formowanie kartonika;4,04E+00;H;3;102;Zacinanie się;108;LINIA WAŻĄCO-PAKUJĄCA 12 T9 RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Kartoniarka T9
12484576;1P;08.01.2025;22:44:46;23:08:23;X;10115783;PLPA-PR-U11-010703-006;UGP11;Regulacja kartoniarki numer 2;3,94E-01;H;2;102;Zacinanie się;108;LINIE PAKUJĄCE T1,T3,T4-2,3 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1/T3/T4 - 2
12484454;1P;08.01.2025;21:50:41;22:34:59;X;10115782;PLPA-PR-U11-010703-004;UGP11;Porwany pas.;7,38E-01;H;3;100;Deformacja;108;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1-1
12484731;1P;09.01.2025;00:36:02;06:04:45;X;10115784;PLPA-PR-U11-010703-006;UGP11;Regulacja zamykania display kartoniarka;5,48E+00;H;2;102;Zacinanie się;108;LINIE PAKUJĄCE T1,T3,T4-2,3 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1/T3/T4 - 3
12484657;1P;09.01.2025;00:22:12;07:08:21;X;10201854;PLPA-PR-U11-010709;UGP11;T9 gniecie pudełka.;6,77E+00;H;3;100;Deformacja;108;LINIA WAŻĄCO-PAKUJĄCA 12 T9 RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Kartoniarka T9
