Nr zlecenia;Rodzaj zlecenia;Zakład;Lokalizacja / zakład;Krótki tekst;Line functional location;Ozn. lokaliz. funkc.;Impianto functional location;Ozn. lokaliz. funkc.;Urządzenie;Oznaczenie obiektu;Odpow. stanow. rob.;Status systemu;Baz. term. rozp.;Baz.term.zak.;Wprowadził(a);Data wprowadzenia;Godzina utworzenia;Zawiadomienie;Rodzaj zawiadomienia;Notification Long Text;Utworzono dnia;Utworzone przez;Problem;Kod uszkodzenia;Tekst dot. szkody;Część obiektu;Kod części obiektu;Tek. kodu części ob.;Przyczyna;Kod przyczyny;Tekst kodu przyczyny;Początek zakłócenia;Pocz. zakłóc. (godz.);Koniec zakłócenia;Koniec zakłóc.(godz.);Żądane rozpoczęcie;Żądana godzina rozp.;Żądane zakończenie;Żądana godz. zak.;Czas przestoju;Jedn. czasu przest.;Zmienione przez;Zmienione dnia
50000224139;PLM7;PLPA;UGP43;Ustka ideksatora;PLPA-PR-U43;UGP43 KINDER BUENO;PLPA-PR-U43-011544;KB Multipack 2(KB 3);10101837;1-Robot zbiorczy KB 3;90300030;ZWOL CZPT DMNK KWS  MOBI PRRO;01.06.2025;;GOZDZJARO2;01.06.2025;09:20:26;12670929;PP;;01.06.2025;WARDAALEK1;;;;;;;;;;01.06.2025;08:50:04;;00:00:00;01.06.2025;09:20:23;01.06.2025;09:33:26;0;H;GOZDZJARO2;01.06.2025
50000224158;PLM1;PLPA;UGP12;Wydmuch RTG do regulacji. R3;PLPA-PR-U12-011312;NUTELLA B-READY;PLPA-PR-U12-011312-003;NUTELLA B-READY PAKOWANIE;10126826;1 - Zespół flowpacków  ACMA;90300020;ZAK  CZPT BrMt KWS  MOBI PRRO;01.06.2025;;BOGUSMARI1;01.06.2025;09:37:13;12671160;1P;01.06.2025 10:45:19 CET MARIUSZ BOGUSZ (BOGUSMARI1) Naprawa mocowania i regulacja wydmuchu;01.06.2025;WILKMATE1;ZPM5;100;Deformacja;;;;;;;01.06.2025;09:35:48;01.06.2025;13:17:17;01.06.2025;09:37:10;01.06.2025;10:44:20;3,69;H;DOROZKRZY1;07.07.2025
50000224159;PLM1;PLPA;UGP42;USZKODZONY CZUJNIK OBECNOŚCI RZĘDU;PLPA-PR-U42-011442;KBW 1/COCO;PLPA-PR-U42-011442-002;KBW 1. Modelator;10160512;1-Oblewarka Nr.2;90300020;ZWOL CZPT DMNK KWS  NPT  PRRO;02.06.2025;02.06.2025;WROBEDANI2;02.06.2025;08:25:30;12671219;1P;02.06.2025 10:56:13 CET Daniel Wróbel (WROBEDANI2) Uszkodzony czujnik obecności rzędów na oblewarce dekoru na matrycy C. Wym;02.06.2025;WROBEDANI2;ZPM6;107;Awaria sterowania;PM1;0040;Części daleko od miejsca naprawy;ZPM5;108;utrzymanie ruchu;02.06.2025;08:25:23;02.06.2025;08:44:20;02.06.2025;08:00:23;02.06.2025;08:29:20;0,32;H;WROBEDANI2;02.06.2025
50000224256;PLM1;PLPA;UGP11;Regulacja nóż;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;PLPA-PR-U11-010703-004;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;10115782;1-Linia pakowania T1-1;90300020;ZAK  CZPT BrMt KWS  MOBI PRRO;02.06.2025;;WOJDYSEBA1;02.06.2025;01:38:59;12671406;1P;02.06.2025 01:43:24 CET SEBASTIAN WOJDYNA (WOJDYSEBA1) Regulacja noży;01.06.2025;GORZYZBIG1;ZPM5;103;Zużycie;;;;ZPM5;108;utrzymanie ruchu;01.06.2025;23:24:26;02.06.2025;01:45:08;02.06.2025;01:38:56;02.06.2025;01:43:03;2,35;H;DOROZKRZY1;07.07.2025
50000224257;PLM6;PLPA;UGP05;Awaria wibratora poziomego;PLPA-PR-U13-010401;TABLETS;PLPA-PR-U13-010401-002;TABLETS Modelator;10247179;1-Wibrator form;90300030;ZAK  BrMt BŁKL KWS  MOBI PRRO;02.06.2025;;WLODAROMA1;02.06.2025;01:56:56;12671384;1P;02.06.2025 01:55:59 CET DOMINIK ADACH (ADACHDOMI1) Za nalewarka nadzienia ---------------------------------------- 02.06.2025 02;02.06.2025;ADACHDOMI1;ZPM6;111;Brak zasilania;;;;ZPM5;108;utrzymanie ruchu;02.06.2025;01:55:16;02.06.2025;02:31:00;02.06.2025;01:56:53;02.06.2025;02:16:00;0,6;H;DOROZKRZY1;07.07.2025
50000224258;PLM1;PLPA;UGP21;Źle sklejone tacki;PLPA-PR-U21-010123;FIGURA CAVA;PLPA-PR-U21-010172-001;FC PAKOWANIE IFC T55;10079781;1-Kartoniarka IFC T55;90300020;ZWOL CZPT BrMt KWS  MOBI PRRO;02.06.2025;;GADEKJACE1;02.06.2025;06:57:04;12671780;1P;02.06.2025 07:23:34 CET JACEK GĄDEK (GADEKJACE1);02.06.2025;KUCHAKONR1;ZPM5;102;Zacinanie się;;;;;;;02.06.2025;06:36:14;02.06.2025;07:38:22;02.06.2025;06:57:01;02.06.2025;07:23:22;1,04;H;;
50000224259;PLM2;PLPA;UGP12;UGP12;PLPA-PR-U12-011312;NUTELLA B-READY;PLPA-PR-U12-011312-002;NUTELLA B-READY MODELATOR;10126184;1-Nalewarka 1;90300020;ZWOL DMNK KWS  NPT  PRRO;04.06.2025;04.06.2025;LIWINIREN1;02.06.2025;10:17:38;12671696;PT;;02.06.2025;LIWINIREN1;;;;;;;;;;02.06.2025;10:17:02;;00:00:00;02.06.2025;10:17:37;;00:00:00;0;H;;
50000224296;PLM1;PLPA;UGP22;Awaria głowicy;PLPA-PR-U22-010325;KJ LINIA 1;PLPA-PR-U22-010325-002;KJ 1 PAKOWANIE;10107617;1-Zespół kartoniarki K7;90300020;ZWOL CZPT DMNK KWS  MOBI NPT  PRRO;01.06.2025;;GRABOROBE1;01.06.2025;09:18:56;12670982;1P;01.06.2025 11:05:55 CET Robert Grabowski (GRABOROBE1);01.06.2025;WARTEPRZE1;ZPM5;103;Zużycie;;;;;;;01.06.2025;09:16:06;01.06.2025;10:15:00;01.06.2025;09:18:53;01.06.2025;10:00:00;0,98;H;GRABOROBE1;01.06.2025
50000224297;PLM1;PLPA;FACILITIES;Roboczogodziny 05.2025;PLPA-FA-001-100000;FAC B1 B2 B3 B4 B5 B6 GS MCZ;PLPA-FA-001-100000-001;Budynek 1 KS;;;90300020;ZWOL BrMt BŁKL DMNK KWS  NPT  PRRO;11.06.2025;11.06.2025;GODUSPRZE1;03.06.2025;13:29:54;12674182;PT;;03.06.2025;GODUSPRZE1;;;;;;;;;;03.06.2025;13:22:47;;00:00:00;03.06.2025;13:29:52;;00:00:00;0;H;GODUSPRZE1;03.06.2025
50000224298;PLM1;PLPA;UGP21;Awaria przekładacza;PLPA-PR-U21-010123;FIGURA CAVA;PLPA-PR-U21-010169-001;FC PAKOWANIE IFC T110 1;10079783;1-Maszyna pakująca IFC T110;90300020;ZWOL BrMt KWS  MOBI PRRO;03.06.2025;;GADEKJACE1;03.06.2025;13:31:22;12651896;1P;03.06.2025 13:32:03 CET JACEK GĄDEK (GADEKJACE1);16.05.2025;ZIELIMARE1;ZPM5;102;Zacinanie się;;;;;;;16.05.2025;12:51:31;03.06.2025;13:46:33;03.06.2025;13:31:18;03.06.2025;13:31:33;432,92;H;;
50000224299;PLM1;PLPA;UGP12;Omijanie cel na łańcuchu. K1;PLPA-PR-U12-011312;NUTELLA B-READY;PLPA-PR-U12-011312-003;NUTELLA B-READY PAKOWANIE;10126856;1 - Zespół kartoniarek SCHUBERT;90300030;ZAK  BrMt KWS  MOBI PRRO;03.06.2025;;KARPIDARI1;03.06.2025;21:13:28;12674503;1P;04.06.2025 01:49:13 CET DARIUSZ KARPIŃSKI (KARPIDARI1) Regulacja band i czujnika obecności produktu obserwacja pracy;03.06.2025;JANUSCEZA1;ZPM6;108;Błąd pomiaru;;;;;;;03.06.2025;19:49:54;04.06.2025;02:03:17;03.06.2025;21:13:25;04.06.2025;01:48:17;6,22;H;DOROZKRZY1;07.07.2025
50000224316;PLM1;PLPA;UGP11;Awaria zgrzewu wstępnego;PLPA-PR-U11;UGP11 RAFFAELLO;PLPA-PR-U11-010717;LINIA PAKUJĄCA ERMETICO RAFFAELLO;10087519;1-Maszyna pakująca Ermetico 1     003230;90300030;ZAK  CZPT DMNK KWS  MOBI NPT  PRRO;02.06.2025;;WOJNATOMA1;02.06.2025;06:55:05;12671289;1P;02.06.2025 14:12:00 CET Tomasz Wojnarowski (WOJNATOMA1) cd.awarii zgrzewu wstępnego. Sprawdzenie w w szafie bezpieczników i mo;02.06.2025;CZAPNADRI1;ZPM6;109;Zwarcie;;;;;;;02.06.2025;06:00:00;02.06.2025;14:07:24;02.06.2025;06:55:00;02.06.2025;14:07:24;8,12;H;DOROZKRZY1;07.07.2025
50000224317;PLM1;PLPA;UGP03;USZKODZENIE KLAPY;PLPA-PR-U32-012011;PREP. Kremu KB;PLPA-PR-U32-012011-001;Preparacja kremu KJ/KB/KBW;10174772;1-Silos Cukier S-3 Nowy;90300020;ZAK  CZPT BrMt BŁKL KWS  PRRO;02.06.2025;02.06.2025;WATALARTU1;02.06.2025;15:07:27;12672254;1P;02.06.2025 15:08:29 CET Artur WATAŁA (WATALARTU1) wymina klapy bocznej na silosie cukru oraz filtrow;02.06.2025;WATALARTU1;ZPM5;106;Wyciek;PM1;0040;Części daleko od miejsca naprawy;ZPM5;112;Niska jakość części zamiennych;02.06.2025;15:07:22;;00:00:00;02.06.2025;15:07:22;;00:00:00;0;H;KOMORPATR1;15.07.2025
50000224318;PLM1;PLPA;UGP13;Uszkodzone łożysko na transporterze taś;PLPA-PR-U13;UGP13 TABLETS+ROCHER FIGURES;PLPA-PR-U13-010175;IFCR PAKOWNIE WIEWIÓRKA/BAŁWAN/JAJKO;10081046;1-Linia pakowania IFCR;90300020;ZAK  CZPT DMNK KWS  MOBI PRRO;02.06.2025;;BANASGRZE1;02.06.2025;21:11:06;12673133;1P;02.06.2025 22:14:40 CET Grzegorz Banasiewicz (BANASGRZE1) Wymiana łożysk;02.06.2025;JASINPIOT1;ZPM5;103;Zużycie;;;;;;;02.06.2025;21:06:18;02.06.2025;22:37:48;02.06.2025;21:11:03;02.06.2025;22:13:50;1,52;H;DOROZKRZY1;07.07.2025
50000224319;PLM2;PLPA;UGP12;Klejarka wodna wafla/Robot przekładający;PLPA-PR-U12-011312;NUTELLA B-READY;PLPA-PR-U12-011312-002;NUTELLA B-READY MODELATOR;10126188;1-Klejarka wodna wafla;90300020;ZWOL CZPT BrMt KWS  PRRO;04.06.2025;04.06.2025;ZWOLIPIOT1;03.06.2025;07:02:10;12673717;PT;;03.06.2025;ZWOLIPIOT1;;;;;;;;;;03.06.2025;07:01:37;;00:00:00;03.06.2025;07:02:09;;00:00:00;0;H;;
50000224397;PLM2;PLPA;UGP42;Przegląd.Wymiana uszczelnień napędów;PLPA-PR-U42-011443;KBW 2.;PLPA-PR-U42-011443-002;KBW 2. Modelator;10156150;1-Zespół maszyn dekorujących;90300020;ZWOL CZPT BrMt KWS  PRRO;02.06.2025;02.06.2025;SMYLROBE1;02.06.2025;07:41:16;12671701;PT;;02.06.2025;SMYLROBE1;;;;;;;;;;02.06.2025;07:40:16;;00:00:00;02.06.2025;07:41:15;;00:00:00;0;H;SMYLROBE1;02.06.2025
50000224398;PLM2;PLPA;UGP42;Przegląd. Wymiana siatki, reduktora ciśn;PLPA-PR-U42-011443;KBW 2.;PLPA-PR-U42-011443-002;KBW 2. Modelator;10156149;1-Transporter siatkowv przed dekoro;90300020;ZWOL CZPT BrMt KWS  PRRO;02.06.2025;02.06.2025;SMYLROBE1;02.06.2025;07:45:01;12671702;PT;;02.06.2025;SMYLROBE1;;;;;;;;;;02.06.2025;07:44:19;;00:00:00;02.06.2025;07:45:00;;00:00:00;0;H;;
50000224399;PLM2;PLPA;UGP42;Przegląd. Wymiana pompy powrotu;PLPA-PR-U42-011443;KBW 2.;PLPA-PR-U42-011443-002;KBW 2. Modelator;10156151;1-Oblewarka Nr.2;90300020;ZWOL CZPT BrMt KWS  PRRO;02.06.2025;02.06.2025;SMYLROBE1;02.06.2025;07:48:42;12671703;PT;;02.06.2025;SMYLROBE1;;;;;;;;;;02.06.2025;07:48:17;;00:00:00;02.06.2025;07:48:41;;00:00:00;0;H;;
50000224407;PLM1;PLPA;UGP12;Przekrzywiony zginacz przy zamykaczu.K3;PLPA-PR-U12-011312;NUTELLA B-READY;PLPA-PR-U12-011312-003;NUTELLA B-READY PAKOWANIE;10126856;1 - Zespół kartoniarek SCHUBERT;90300020;ZAK  CZPT BrMt KWS  MOBI PRRO;01.06.2025;;WOLNILUKA1;01.06.2025;14:26:49;12671192;1P;01.06.2025 15:07:39 CET ŁUKASZ WOLNIEWICZ (WOLNILUKA1) Prostowanie grzebienia na zamykaniu;01.06.2025;WILKMATE1;ZPM5;100;Deformacja;;;;;;;01.06.2025;14:25:41;01.06.2025;15:42:03;01.06.2025;14:26:46;01.06.2025;15:07:02;1,27;H;DOROZKRZY1;07.07.2025
50000224408;PLM1;PLPA;UGP12;Alarm pistolet 1 kleju na zamykaniu;PLPA-PR-U12-010801;KINDER CARDS;PLPA-PR-U12-010801-003;KINDER CARDS PAKOWANIE;10216514;1-Zespół kartoniarek Livetech;90300030;ZAK  CZPT DMNK KWS  MOBI NPT  PRRO;01.06.2025;;FRACZMACI1;01.06.2025;14:27:49;12671191;1P;01.06.2025 15:58:06 CET ŁUKASZ WOLNIEWICZ (WOLNILUKA1) Wymiana głowicy kleju;01.06.2025;ADAMCDAWI1;ZPM5;103;Zużycie;;;;;;;01.06.2025;14:23:00;01.06.2025;15:57:33;01.06.2025;14:27:46;01.06.2025;15:57:33;1,58;H;DOROZKRZY1;07.07.2025
50000224409;PLM1;PLPA;UGP42;USTAWIENIE PARAMETROW DRUKARKI;PLPA-PR-U42;UGP42 KINDER BUENO WHITE;PLPA-PR-U42-011646;KBW 1. Mastello;10211795;1-Drukarka;90300020;ZWOL CZPT BrMt KWS  PRRO;01.06.2025;01.06.2025;SZYSZANDR1;01.06.2025;20:56:27;12670786;1P;01.06.2025 20:59:06 CET Andrzej Szyszka (SZYSZANDR1) regulacja,ustawienie parametrow drukarki.;01.06.2025;SZYSZANDR1;ZPM6;107;Awaria sterowania;;;;ZPM5;108;utrzymanie ruchu;01.06.2025;20:56:19;01.06.2025;21:05:47;01.06.2025;20:21:19;01.06.2025;20:50:47;0,16;H;;
50000224410;PLM1;PLPA;UGP11;Awaria kartoniarki 6;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;PLPA-PR-U11-010703-005;LINIE WAŻĄCO-PAKUJACE T15 1,2,3,4 RAFFAE;10116568;1-Linia ważąco-pakujaca T-15 -3;90300020;ZAK  CZPT DMNK KWS  MOBI NPT  PRRO;02.06.2025;;WOJDYSEBA1;02.06.2025;01:46:26;12670799;1P;01.06.2025 22:52:09 CET ZBIGNIEW GÓRZYŃSKI (GORZYZBIG1) Krzywo składa i rwie ---------------------------------------- 02.06.2;01.06.2025;GORZYZBIG1;ZPM5;103;Zużycie;;;;ZPM5;108;utrzymanie ruchu;01.06.2025;22:51:17;02.06.2025;04:11:41;02.06.2025;00:01:00;02.06.2025;01:47:22;5,34;H;DOROZKRZY1;07.07.2025
50000224411;PLM1;PLPA;UGP13;Brak potwierdzenia czujnika;PLPA-PR-U13-010401;TABLETS;PLPA-PR-U13-010401-003;TABLETS Pakowanie;10229885;1-Zespół pakowarek zbior. Livetech;90300030;ZAK  CZPT BrMt KWS  MOBI PRRO;02.06.2025;;SZCZEPIOT1;02.06.2025;08:21:31;12671656;1P;02.06.2025 09:25:07 CET PIOTR SZCZEPAŃSKI (SZCZEPIOT1) Regulacja czujnika;02.06.2025;MATERKARO1;ZPM6;108;Błąd pomiaru;;;;ZPM5;107;Niewłaściwe ustawienia/parametry maszyny;02.06.2025;07:37:22;02.06.2025;09:29:54;02.06.2025;08:21:27;02.06.2025;08:30:00;0;H;DOROZKRZY1;07.07.2025
50000224412;PLM1;PLPA;UGP42;USZKODZONY PRZEWÓD WYSPY ZAWOROWEJ;PLPA-PR-U42-011442;KBW 1/COCO;PLPA-PR-U42-011442-002;KBW 1. Modelator;10160497;1-Pancerino;90300020;ZWOL CZPT DMNK KWS  NPT  PRRO;02.06.2025;02.06.2025;OWCZAADAM2;02.06.2025;08:23:33;12671778;1P;02.06.2025 11:03:03 CET Adam Owczarski (OWCZAADAM2) Wymiana uszkodzonego przewodu sterującego W158KH5001 wyspy zaworowej 158KH5;02.06.2025;OWCZAADAM2;ZPM6;110;Przerwa w obwodzie;PM1;0040;Części daleko od miejsca naprawy;ZPM5;108;utrzymanie ruchu;02.06.2025;08:23:32;02.06.2025;10:14:37;02.06.2025;08:00:32;02.06.2025;09:59:37;1,85;H;OWCZAADAM2;02.06.2025
50000224413;PLM2;PLPA;FACILITIES;Wymiana napędu Agilox Frank;PLPA-LG-001-100080;Wózki autonomiczne AGV;PLPA-LG-001-100080-001;Wózki autonomiczne AGV;10227577;1-Agilox FRANK - ROCHERONE;90300020;ZWOL BŁKL DMNK KWS  NPT  PRRO;02.06.2025;02.06.2025;MUCHAADAM1;02.06.2025;09:17:28;12671779;PT;;02.06.2025;MUCHAADAM1;;;;;;;;;;02.06.2025;09:16:10;;00:00:00;02.06.2025;09:17:26;;00:00:00;0;H;;
50000224414;PLM1;PLPA;UGP12;Ustawienia rolek;PLPA-PR-U12-011312;NUTELLA B-READY;PLPA-PR-U12-011312-003;NUTELLA B-READY PAKOWANIE;10127045;1 - Paletyzacja Wikpol ALPK-9000;90300020;ZAK  CZPT BrMt KWS  MOBI PRRO;02.06.2025;;KARPIDARI1;02.06.2025;13:05:59;12672206;1P;02.06.2025 14:12:38 CET DARIUSZ KARPIŃSKI (KARPIDARI1) Regulacja czujników obrotnicy;02.06.2025;MALINKACP1;ZPM6;108;Błąd pomiaru;;;;;;;02.06.2025;12:55:02;02.06.2025;14:26:40;02.06.2025;13:05:56;02.06.2025;14:11:40;1,53;H;DOROZKRZY1;07.07.2025
50000224415;PLM4;PLPA;UTILITIES;;PLPA-UT-001-100000;Energetyka - Elektryczność;PLPA-UT-001-100000-001;Energetyka - Elektryczność;10081653;;90300020;ZWOL DMNK KWS  NPT  PRRO;02.06.2025;06.06.2025;FELLEARKA1;02.06.2025;16:02:55;12672723;PQ;;02.06.2025;FELLEARKA1;;;;;;;;;;02.06.2025;16:00:15;;00:00:00;02.06.2025;16:02:54;;00:00:00;0;H;;
50000224416;PLM6;PLPA;UGP12;Nieszczelność;PLPA-PR-U12-010801;KINDER CARDS;PLPA-PR-U12-010801-001;KINDER CARDS PREPARACJA;10216378;1-Pompa próżniowa AERZEN B01 (GM10S);90300020;ZAK  CZPT BrMt KWS  MOBI PRRO;02.06.2025;;WOLNILUKA1;02.06.2025;19:51:55;12673101;1P;09.06.2025 06:03:46 CET ŁUKASZ WOLNIEWICZ (WOLNILUKA1) Uszczelnianie sprężonego powietrza;02.06.2025;WOLNILUKA1;ZPM5;103;Zużycie;;;;;;;02.06.2025;19:51:04;09.06.2025;06:17:35;02.06.2025;19:51:52;09.06.2025;06:02:35;154,44;H;DOROZKRZY1;07.07.2025
